ticker,company,event_date,drug_name,indication,phase,headline,pr_url,primary_endpoint_met,summary,_query_label
BBIO,"BridgeBio Pharma, Inc.",2026-02-12,infigratinib,achondroplasia,Phase 3,BridgeBio announces positive Phase 3 PROPEL 3 topline results for oral infigratinib in achondroplasia,https://www.stocktitan.net/news/BBIO/bridge-bio-reports-positive-phase-3-topline-results-for-oral-lkqhxlda3x54.html,True,"The trial met its primary endpoint with a +2.10 cm/year gain in annualized height velocity versus placebo at Week 52, showing favorable safety with no drug-related discontinuations.",Phase3_Q1_2024
CMMB,Chemomab Therapeutics,2024-07-25,CM-101,Primary Sclerosing Cholangitis (PSC),Phase 2,Chemomab reports topline results from CM-101 Phase 2 SPRING trial in PSC,,True,CM-101 met the primary endpoint with a favorable safety profile and dose-dependent improvements in disease-related biomarkers.,Phase3_Q2_2024
PFE,Pfizer Inc.,2024-07-01,giroctocogene fitelparvovec,Hemophilia A,Phase 3,Pfizer Announces Positive Results from Phase 3 Hemophilia A Study,,True,"The Phase 3 AFFINE study achieved non-inferiority and superiority in reducing annualized bleeding rate compared to routine Factor VIII prophylaxis, with a 98.3% reduction in treated annualized bleeding rate.",Phase3_Q3_2024
BCTX,BriaCell Therapeutics Corp.,2025-12-09,Bria-IMT,Metastatic Breast Cancer,Phase 3,BriaCell's Phase 3 Patient Enrollment on Track for 1H2026 Topline Data Readout,,,"Over 160 patients enrolled in the pivotal Phase 3 study with topline interim data expected in 1H2026, assessing overall survival as the primary endpoint.",Phase3_Q3_2024
UCB,UCB and Biogen,2024-01-01,dapirolizumab pegol,Systemic Lupus Erythematosus,Phase 3,UCB and Biogen Announce Positive Topline Results From Phase 3 Study of Dapirolizumab Pegol in Systemic Lupus Erythematosus,,True,The Phase 3 PHOENYCS GO study showed positive results with improvement of moderate-to-severe disease activity at Week 48 using BICLA as the primary efficacy endpoint.,Phase3_Q3_2024
LYNK,Lynk Pharmaceuticals,2024-01-01,zemprocitinib,Moderate-to-Severe Atopic Dermatitis,Phase 3,Lynk Pharmaceuticals Announces Positive Phase III Topline Data of Zemprocitinib in Moderate-to-Severe Atopic Dermatitis,,True,The study met all co-primary and key secondary endpoints with both dose groups demonstrating statistically significant improvements versus placebo (p < 0.0001) and a favorable safety profile.,Phase3_Q3_2024
IOBT,IO Biotech,2025-10-01,Cylembio (IO102-IO103),advanced melanoma,Phase 3,"IO Biotech presents topline results from Phase 3 IOB-013 trial in advanced melanoma at ESMO, narrowly missing PFS primary endpoint.",https://investors.iobiotech.com/news-events/news/news-details/2025/IO-Biotech-Reports-Third-Quarter-2025-Financial-Results-and-Provides-Business-Highlights/default.aspx,False,Topline data showed improvements in PFS across overall population and subgroups but narrowly missed statistical significance on primary PFS endpoint.,Phase3_Q4_2024
VRDN,Viridian Therapeutics,2024-12-16,Veligrotug,chronic thyroid eye disease,Phase 3,Viridian Therapeutics announces positive topline results from Phase 3 THRIVE-2 trial of veligrotug in chronic thyroid eye disease.,https://www.businesswire.com/news/home/20241215083644/en/Viridian-Therapeutics-Announces-Positive-Topline-Results-from-Veligrotug-Phase-3-THRIVE-2-Clinical-Trial-in-Patients-with-Chronic-Thyroid-Eye-Disease,True,Viridian announced positive topline results from the Phase 3 THRIVE-2 clinical trial in patients with chronic thyroid eye disease.,Phase3_Q4_2024
CAPR,Capricor Therapeutics,2025-12-03,Deramiocel,Duchenne muscular dystrophy,Phase 3,Capricor Therapeutics announces positive topline results from pivotal Phase 3 HOPE-3 study of deramiocel in Duchenne muscular dystrophy.,https://www.capricor.com/investors/news-events/press-releases/detail/331/capricor-therapeutics-announces-positive-topline-results,True,Capricor announced positive topline results from the pivotal Phase 3 HOPE-3 trial evaluating deramiocel for the treatment of Duchenne muscular dystrophy.,Phase3_Q4_2024
MAAT,MaaT Pharma,2025-01-08,MaaT013,Acute Graft-versus-Host Disease (GI-aGvHD),Phase 3,MaaT Pharma Announces Positive Topline Results from the Pivotal Phase 3 ARES Study Evaluating MaaT013 in Acute Graft-versus-Host Disease,https://www.maatpharma.com/january-8-2025-maat-pharma-announces-positive-topline-results-from-the-pivotal-phase-3-ares-study-evaluating-maat013-in-acute-graft-versus-host-disease/,True,"MaaT013 demonstrated 54% probability of survival at 1 year in third-line GI-aGvHD patients, with MAA submission in Europe anticipated for mid-2025.",Phase3_Q1_2025
CORT,Corcept Therapeutics Incorporated,2025-03-01,Relacorilant,"Advanced, Platinum-Resistant, High-Grade Epithelial Ovarian, Primary Peritoneal, or Fallopian-Tube Cancer",Phase 3,Phase 3 Study Primary Completion: Relacorilant in Combination With Nab-Paclitaxel,,,Phase 3 trial (NCT05257408) for relacorilant in combination with nab-paclitaxel reached primary completion date in March 2025.,Phase3_Q1_2025
IMVT,"Immunovant, Inc.",2025-03-01,Batoclimab,Generalized Myasthenia Gravis,Phase 3,Phase 3 Study Primary Completion: Batoclimab as Induction and Maintenance Therapy,,,Phase 3 trial (NCT05403541) for batoclimab in generalized myasthenia gravis reached primary completion date in March 2025.,Phase3_Q1_2025
NICXF,Nicox S.A.,2025-03-01,NCX 470,Open-Angle Glaucoma or Ocular Hypertension,Phase 3,Phase 3 Study Primary Completion: NCX 470 vs. Latanoprost,,,Phase 3 trial (NCT04630808) evaluating NCX 470 versus latanoprost reached primary completion date in March 2025.,Phase3_Q1_2025
NMRA,"Neumora Therapeutics, Inc.",2025-03-01,NMRA-335140,Major Depressive Disorder,Phase 3,Phase 3 Study Primary Completion: Oral NMRA-335140 in Major Depressive Disorder,,,Phase 3 trial (NCT06058039) for oral NMRA-335140 in major depressive disorder reached primary completion date in March 2025.,Phase3_Q1_2025
IOBT,IO Biotech,2025-10-20,Cylembio (IO102-IO103),Advanced melanoma,Phase 3,IO Biotech Presents Phase 3 Results for Cylembio plus KEYTRUDA (pembrolizumab) in First-line Advanced Melanoma,https://investors.iobiotech.com/news-events/news/news-details/2025/IO-Biotech-Presents-Phase-3-Results-for-Cylembio-plus-KEYTRUDA-pembrolizumab-in-First-line-Advanced-Melanoma-at-ESMO-2025/default.aspx,False,"Cylembio plus pembrolizumab achieved 19.4 months median progression-free survival versus 11.0 months with pembrolizumab alone, narrowly missing the primary endpoint for statistical significance (p=0.0558 vs. prespecified p≤0.045).",Phase3_Q3_2025
BLTE,"Belite Bio, Inc.",2025-08-01,Tinlarebant,Adolescent Stargardt Disease,Phase 3,"Phase 3, Randomized, Placebo-Controlled Study of Tinlarebant to Explore Safety and Efficacy in Adolescent Stargardt Disease",,,"Phase 3 trial with primary completion date of August 1, 2025 for tinlarebant in adolescent Stargardt disease.",Phase3_Q3_2025
ETNB,"89bio, Inc.",2025-08-01,Pegozafermin,Severe Hypertriglyceridemia,Phase 3,Phase 3 Study to Evaluate the Efficacy and Safety of Pegozafermin in Subjects With Severe Hypertriglyceridemia,,,"Phase 3 trial with primary completion date of August 1, 2025 for pegozafermin in severe hypertriglyceridemia.",Phase3_Q3_2025
GNLX,Genelux Corporation,2025-08-01,Olvi-Vec,Platinum-Resistant/Refractory Ovarian Cancer,Phase 3,"Efficacy & Safety of Olvi-Vec and Platinum-doublet + Bevacizumab Compared to Physician's Choice of Chemotherapy and Bevacizumab in Platinum-Resistant/Refractory Ovarian Cancer (OnPrime, GOG-3076)",,,"Phase 3 trial (OnPrime, GOG-3076) with primary completion date of August 1, 2025 for Olvi-Vec in platinum-resistant/refractory ovarian cancer.",Phase3_Q3_2025
XENE,Xenon Pharmaceuticals Inc.,2025-08-01,XEN1101,Focal-Onset Seizures,Phase 3,A Randomized Study of XEN1101 Versus Placebo in Focal-Onset Seizures (X-TOLE3),,,"Phase 3 trial (X-TOLE3) with primary completion date of August 1, 2025 for XEN1101 in focal-onset seizures.",Phase3_Q3_2025
IOBT,IO Biotech,2025-11-14,Cylembio (IO102-IO103),advanced melanoma,Phase 3,IO Biotech Reports Topline Data from Phase 3 IOB-013 Trial in Advanced Melanoma,https://investors.iobiotech.com/news-events/news/news-details/2025/IO-Biotech-Reports-Third-Quarter-2025-Financial-Results-and-Provides-Business-Highlights/default.aspx,False,Phase 3 trial narrowly missed statistical significance on PFS primary endpoint but showed improvements in PFS across overall population and subgroups.,Phase3_Q4_2025
MDCX,Medicus Pharma Ltd.,2025-12,D-MNA,nodular basal cell carcinoma (BCC),Phase 2,Medicus Pharma Reports Positive Phase 2 SKNJCT-003 Topline Data,https://www.biospace.com/press-releases/medicus-pharma-reports-positive-phase-2-sknjct-003-topline-data-observing-73-clinical-clearance-and-40-histological-clearance-cr-at-day-57-in-200%CE%BCg-cohort,True,Phase 2 trial achieved 73% clinical clearance and 40% histological clearance at Day 57 in the 200μg cohort.,Phase3_Q4_2025
CAPR,Capricor Therapeutics,2025-12-03,Deramiocel,Duchenne Muscular Dystrophy,Phase 3,Capricor Therapeutics Announces Positive Topline Results from Pivotal Phase 3 HOPE-3 Study,https://www.capricor.com/investors/news-events/press-releases/detail/331/capricor-therapeutics-announces-positive-topline-results,True,Pivotal Phase 3 HOPE-3 study met its objectives with positive topline results.,Phase3_Q4_2025
,Galapagos NV,2023-06-30,Filgotinib (Jyseleca),Crohn's disease,Phase 3,Galapagos announces Phase 3 DIVERSITY study topline results in Crohn's disease,https://www.glpg.com/press-releases/galapagos-announces-first-half-year-2023-financial-results/,False,"Phase 3 DIVERSITY study in Crohn's disease did not meet primary endpoint, leading to decision not to submit Marketing Authorization Application in Europe.",Phase3_H1_2023
,I-Mab,2023-06-30,Eftansomatropin alfa,Growth hormone deficiency in children,Phase 3,I-Mab announces positive Phase 3 topline results for eftansomatropin alfa,https://www.prnewswire.com/news-releases/i-mab-provides-mid-year-2023-financial-results-business-and-corporate-updates-301903515.html,True,Phase 3 pivotal study met primary endpoint of annualized height velocity at week 52 and demonstrated non-inferiority to Norditropin.,Phase3_H1_2023
,BioMarin Pharmaceutical,2023-03-31,Valoctocogene roxaparvovec (Roctavian),Hemophilia A,Phase 3,BioMarin releases Phase 3 data for valoctocogene roxaparvovec in hemophilia A,,,Phase 3 data expected in early 2023 to support FDA approval for hemophilia A gene therapy.,Phase3_H1_2023
,MaaT Pharma,,MaaT013,acute graft-versus-host disease (aGvHD),Phase 3,MaaT Pharma focuses resources on delivery of Phase 3 topline results for MaaT013 in aGvHD expected in mid-Q4 2024,,,"Company published half-year 2024 results, prioritizing resources for Phase 3 topline results of MaaT013 in aGvHD expected mid-Q4 2024, with positive early access program data showing 63% GI-ORR at D28.[1]",Phase3_H2_2023
MBX,"MBX Biosciences, Inc.",2025-12-31,canvuparatide,chronic hypoparathyroidism,Phase 2,MBX Biosciences announces positive topline results from Phase 2 Avail trial of once-weekly canvuparatide,,True,Once-weekly canvuparatide achieved the primary endpoint with statistical significance at Week 12 and showed positive 6-month results in the open-label extension.,Phase2_2025
SNGX,"Soligenix, Inc.",2025-12-31,HyBryte (synthetic hypericin),cutaneous T-cell lymphoma,Phase 3,Soligenix announces positive Data Monitoring Committee review for confirmatory Phase 3 FLASH2 study of HyBryte,,,"The DMC confirmed no safety concerns and an acceptable safety profile consistent with prior studies, with topline results expected in the second half of 2026.",Phase2_2025
CYTK,Cytokinetics Incorporated,2025-12-31,Myqorzo,heart condition,Approval,FDA approves Cytokinetics' Myqorzo for heart condition,,,"The FDA approved Myqorzo, marking Cytokinetics' first product approval after 27 years in business.",Phase2_2025
OMER,Omeros Corporation,2025-12-31,Yartemlea,rare transplant complication,Approval,FDA approves Omeros' Yartemlea for rare transplant complication,,,"The FDA greenlit Yartemlea, providing a new treatment for a rare transplant complication.",Phase2_2025
SPRO,Spero Therapeutics Inc.,2025-05-28,tebipenem HBr,complicated urinary tract infections,Phase 3,Spero Therapeutics reports Phase 3 trial of tebipenem HBr meets primary endpoint and stops early for efficacy,,True,"The Phase 3 trial met its primary endpoint in treating cUTIs and was stopped early due to efficacy, leading to an NDA resubmission by GSK.",Phase2_2025
RGNX,Regenxbio Inc.,2024-10-01,RGX-121,Hunter syndrome,BLA,FDA rejects Regenxbio's RGX-121 gene therapy citing lack of placebo-controlled arm,,,FDA issued a complete response letter rejecting approval of RGX-121 for Hunter syndrome due to absence of placebo control despite prior agreement on study protocol.[1],FDA_2024
RCKT,Rocket Pharmaceuticals Inc.,2024-06-28,Kresladi,severe leukocyte adhesion deficiency-I (LAD-I),BLA,FDA issues complete response letter for Rocket's Kresladi gene therapy,,,"FDA rejected Rocket's BLA for Kresladi after extending review, requesting additional chemistry, manufacturing, and controls information.[2][4]",FDA_2024
ZEAL,Zealand Pharma A/S,2024-12-01,glepaglutide,short bowel syndrome,NDA,FDA issues CRL to Zealand Pharma for glepaglutide citing insufficient efficacy evidence,,False,FDA rejected glepaglutide application due to uncertainties in efficacy data and inconsistencies in protocol adjustments for short bowel syndrome.[3][4],FDA_2024
REGN,Regeneron Pharmaceuticals Inc.,2024-03-01,odronextamab,follicular lymphoma and diffuse large B-cell lymphoma,BLA,FDA rejects Regeneron's odronextamab BLA over confirmatory trial timelines,,,FDA issued CRL for odronextamab citing insufficient assurance of timely completion of confirmatory trials in lymphoma patients.[3],FDA_2024
STXB,Stealth BioTherapeutics Inc.,2024-05-01,elamipretide,Barth syndrome,NDA,FDA rejects Stealth BioTherapeutics' elamipretide for Barth syndrome,,,FDA issued a complete response letter rejecting elamipretide approval for the ultra-rare Barth syndrome.[4],FDA_2024
ATRA,Atara Biotherapeutics,2025-01-15,Tabelecleucel (Tab-cel),Epstein-Barr Virus Positive Post-Transplant Lymphoproliferative Disease,,FDA issues Complete Response Letter for Tabelecleucel,,,FDA issued a Complete Response Letter for tabelecleucel in Epstein-Barr Virus Positive Post-Transplant Lymphoproliferative Disease.[6],FDA_2025
,Elevar Therapeutics,2025-03-20,Rivoceranib/Camrelizumab,Unresectable or metastatic hepatocellular carcinoma,,FDA issues Complete Response Letter for Rivoceranib/Camrelizumab,,,FDA issued a Complete Response Letter for rivoceranib/camrelizumab in unresectable or metastatic hepatocellular carcinoma.[6],FDA_2025
RGNX,Regenxbio,2025-10,RGX-121,Hunter syndrome,,FDA rejects RGX-121 gene therapy citing lack of placebo-controlled arm,,,FDA rejected RGX-121 for Hunter syndrome due to lack of placebo-controlled arm despite prior agreement on study protocol.[2],FDA_2025
DISC,Disc Medicine,2025,bitopertin,erythropoietic protoporphyria,,FDA rejects bitopertin despite National Priority Voucher,,,"FDA rejected bitopertin for erythropoietic protoporphyria, issuing a complete response letter despite a Commissioner's National Priority Voucher.[2]",FDA_2025
,Cranetics Pharmaceuticals,2025-09,pulotine,acrogali,,FDA issues complete response letter for pulotine,,,"FDA issued a complete response letter for pulotine in acrogali, requiring more data before approval.[3]",FDA_2025
,Akeso and Summit Therapeutics,2024-04-01,ivonescimab,lung cancer,Phase 3,"ivonescimab received first regulatory approval in China, cutting risk of lung cancer progression in half compared to Keytruda",,True,"Ivonescimab beat Merck's Keytruda in Phase 3 trial and received China approval, though interim survival analysis showed no statistically significant difference between groups.",Interim_2024_2025
,Wave Life Sciences,2024-10-01,WVE-006,alpha-1 antitrypsin deficiency,Phase 1b/2a,Wave revealed positive proof-of-mechanism data marking first-ever clinical demonstration of RNA editing in humans,,True,Two AATD patients treated with single dose produced significant protein amounts with effects lasting through two months of follow-up and no serious side effects.,Interim_2024_2025
,Intellia Therapeutics,2025-01-23,NTLA-2002,hereditary angioedema,Phase 3,First patient dosed in pivotal phase 3 HAELO clinical trial for CRISPR/Cas9-based gene-editing therapy,,,NTLA-2002 is a systemically delivered single-dose CRISPR gene-editing therapy with longer-term data from phase 1/2 study expected later in 2025.,Interim_2024_2025
,EsoBiotec,2025-01-09,ESO-T01,relapsed/refractory multiple myeloma,Phase 1,"First patient dosed in early phase 1 trial for in vivo BCMA-directed CAR-T therapy, first time treating patient with in vivo BCMA-directed CAR-T in clinical trial",,,ESO-T01 is an in vivo CAR-T therapy designed to reprogram patients' T-cells within their body with initial clinical data expected in second half of 2025.,Interim_2024_2025
,Adicet Bio,2024-11-19,ADI-100,lupus nephritis,Phase 1,First patient dosed in phase 1 clinical trial evaluating allogeneic CAR-engineered gamma delta T-cell therapy for autoimmune diseases,,,ADI-100 is an investigational allogeneic CAR-engineered gamma delta T-cell therapy with initial data from lupus nephritis patients expected in first half of 2025.,Interim_2024_2025
QURE,UniQure,2025-11-01,,,,UniQure announces positive trial results leading to stock surge over 350%,,True,UniQure's stock soared over 350% following positive clinical trial results for an undisclosed drug.[1],Phase1_2024_2025
PRAX,Praxis Precision Medicines,2025-11-01,,,,Praxis Precision Medicines announces favorable drug trial data,,True,Praxis Precision Medicines experienced a stock increase of over 230% after announcing favorable drug trial data.[1],Phase1_2024_2025
MBX,MBX Biosciences,2025-11-01,Canvuparatide,chronic hypoparathyroidism,Phase 2,MBX Biosciences reports positive topline results ahead of Phase 2 readout for Canvuparatide,,True,"MBX Biosciences reported gains of over 100% following positive Phase 2 topline results for Canvuparatide, a once-weekly therapy for chronic hypoparathyroidism.[1]",Phase1_2024_2025
WVE,Wave Life Sciences,2024-10-01,,alpha-1 antitrypsin deficiency (AATD),Phase 1b/2a,Wave Life Sciences reveals positive proof-of-mechanism data from Phase 1b/2a study in AATD,,True,"Wave Life Sciences announced positive proof-of-mechanism data from a Phase 1b/2a study in patients with alpha-1 antitrypsin deficiency, demonstrating the first clinical demonstration of RNA editing in humans.[1]",Phase1_2024_2025
VKTX,Viking Therapeutics,2024-02-01,VK2735,obesity,Phase 2,Viking Therapeutics reports fantastic phase 2 results for VK2735 obesity drug,,True,"Viking Therapeutics announced fantastic data from phase 2 trials of VK2735, causing the stock to jump 121% in one session and gain 116% for the year.[2]",Phase1_2024_2025
,Gilead,2024-05-31,Trodelvy,lung cancer,Phase 3,Gilead's Trodelvy failed to meet statistical significance in phase 3 lung cancer trial ahead of ASCO 2024,,False,Trodelvy failed to achieve statistical significance as primary endpoint in phase 3 trial for lung cancer.[1],Oncology_2024
AZN,AstraZeneca,2024-05-31,Tagrisso,lung cancer,Phase 3,Tagrisso succeeds in phase 3 lung cancer trial with 84% reduction in disease progression risk at ASCO 2024,,True,Tagrisso cut the risk of disease progression by 84% compared to placebo in phase 3 lung cancer trial.[1],Oncology_2024
PFE,Pfizer,2024-05-31,Lorbrena,lung cancer,Phase 3,Pfizer's phase 3 Lorbrena study shows positive results leading to U.S. approval presented at ASCO 2024,,True,Pfizer's phase 3 study of Lorbrena demonstrated positive results and was approved by the U.S. FDA.[1],Oncology_2024
,ECOG-ACRIN,2024-01-01,temozolomide,grade 2 glioma,Phase 3,Phase 3 E3F05 trial shows temozolomide plus radiation improves 10-year survival to 70% in grade 2 glioma,,True,Combining temozolomide with radiation resulted in a 10-year survival rate of 70% versus 47% for radiation alone.[3],Oncology_2024
,Merck,2024-09-01,pembrolizumab,high-risk stage III melanoma,Phase 3,Phase 3 trial of pembrolizumab shows long-term benefits in recurrence-free survival at ESMO 2024,,True,"Five-year follow-up showed significantly improved recurrence-free survival, distant metastasis-free survival, and overall outcomes with pembrolizumab versus placebo.[2]",Oncology_2024
AMGN,Amgen Inc.,2025-06-30,bemarituzumab,FGFR2b-positive first-line gastric or gastroesophageal junction cancer,Phase 3,Amgen announces positive topline Phase 3 results for bemarituzumab in FGFR2b-positive first-line gastric cancer,https://www.amgen.com/newsroom/press-releases/2025/06/amgen-announces-positive-topline-phase-3-results-for-bemarituzumab-in-fibroblast-growth-factor-receptor-2b-fgfr2b-positive-firstline-gastric-cancer,True,"Bemarituzumab plus chemotherapy met the primary endpoint of overall survival at interim analysis, showing statistically significant improvement over chemotherapy alone in patients with FGFR2b overexpression.",Oncology_2025
LLY,Eli Lilly and Company,,Retevmo,oncology cancer,Phase 3,Eli Lilly announces positive results from Phase 3 LIBRETTO-432 trial for Retevmo,,True,Retevmo delivered highly statistically significant results in the Phase 3 LIBRETTO-432 trial.,Oncology_2025
MLYS,Mineralys Therapeutics,2025-06-30,lorundrostat,uncontrolled or resistant hypertension,Phase 3,Mineralys announces pivotal phase III Launch-HTN study meets primary efficacy endpoints,,True,The phase III Launch-HTN and phase II Advance-HTN studies of lorundrostat met primary efficacy endpoints with statistical significance and favorable safety in hypertension patients.[1],BigGainer_2024_2025
MLYS,Mineralys Therapeutics,2025-06-30,lorundrostat,hypertension with CKD,Phase 2,Mineralys reports positive top-line data from phase II Explore-CKD study,,True,Phase II Explore-CKD study showed lorundrostat added to SGLT2 inhibitor significantly improved outcomes in hypertensive patients with CKD.[1],BigGainer_2024_2025
INSM,Insmed,2025-08-01,Brinsupri (brensocatib),non-cystic fibrosis bronchiectasis,,FDA approves Insmed's Brinsupri as first treatment for non-CF bronchiectasis,,,"FDA approved Brinsupri (brensocatib) as the first treatment for non-CF bronchiectasis in August 2025, with subsequent European approval.[1]",BigGainer_2024_2025
GPCR,Structure Therapeutics,2025-12-01,aleniglipron,obesity,Phase 2,Structure Therapeutics announces positive top-line data from ACCESS clinical program,,True,Positive top-line data from the ACCESS clinical program of investigational GLP-1 candidate aleniglipron for obesity treatment announced in December 2025.[2],BigGainer_2024_2025
NERV,Minerva Neurosciences,2026-01-01,roluperidone,negative symptoms of schizophrenia,Phase 3,Minerva Neurosciences secures funding to advance roluperidone through Phase III trial and NDA resubmission,,,Shares skyrocketed 140% after securing up to $200 million to advance roluperidone through Phase III confirmatory trial and FDA NDA resubmission.[4],BigGainer_2024_2025
MLTX,MoonLake Immunotherapeutics,2025-09-28,sonelokimab,hidradenitis suppurativa,Phase 3,MoonLake announces Phase 3 VELA-2 trial fails primary endpoint for sonelokimab in HS,,False,"VELA-2 trial failed primary endpoint at Week 16; efficacy inferior to competitor BIMZELX, causing 90% stock crash.",BigLoser_2024_2025
QNCX,Quince Therapeutics,2026-01-29,eDSP,Ataxia-Telangiectasia,Phase 3,Quince Therapeutics Phase 3 NEAT trial of eDSP fails primary endpoint,,False,"Pivotal NEAT trial missed primary endpoint (p=0.0851) and key secondary endpoint, crashing stock 91%.",BigLoser_2024_2025
SAVA,Cassava Sciences,2025-01-01,Simufilam,Alzheimer’s disease,Phase 3,Cassava Sciences reports second Phase 3 failure for Simufilam in Alzheimer’s,,False,"Second consecutive Phase 3 trial showed no impact on disease progression, leading to program termination and 20% stock drop.",BigLoser_2024_2025
RARE,Ultragenyx,2025-01-01,Setrusumab,osteogenesis imperfecta,Phase 3,Ultragenyx late-stage studies of Setrusumab fail to reduce fracture rates,,False,"Two late-stage trials failed primary endpoint of significant fracture rate reduction, dropping stock 43%.",BigLoser_2024_2025
OTLK,Outlook Therapeutics,2024-12-01,ONS-5010,eye disease,BLA,FDA issues second CRL for ONS-5010 BLA due to efficacy failure,,False,"NORSE EIGHT confirmatory study failed non-inferiority endpoint at week 8, causing 54% stock plunge.",BigLoser_2024_2025
